blind_id,condition_id,spin_true,f_col_true,inner_stress_delta_eta
blind_cd385610e651,am0p500-i40p0-l0p060-fc1p70-de0p020,-0.5,1.7,0.02
blind_eabbf106a340,am0p500-i40p0-l0p060-fc1p90-de0p000,-0.5,1.9,0.0
blind_01bbfef3962b,am0p500-i40p0-l0p060-fc1p90-de0p020,-0.5,1.9,0.02
blind_71f101a097dc,am0p500-i40p0-l0p180-fc1p70-de0p020,-0.5,1.7,0.02
blind_1c59bc2c4a2c,am0p500-i40p0-l0p180-fc1p90-de0p000,-0.5,1.9,0.0
blind_d3b6cd030f16,am0p500-i40p0-l0p180-fc1p90-de0p020,-0.5,1.9,0.02
blind_ac518a4d2484,am0p500-i70p0-l0p060-fc1p70-de0p020,-0.5,1.7,0.02
blind_45f91aaf7273,am0p500-i70p0-l0p060-fc1p90-de0p000,-0.5,1.9,0.0
blind_27f89e1e8bc0,am0p500-i70p0-l0p060-fc1p90-de0p020,-0.5,1.9,0.02
blind_2a3f8f4c1309,am0p500-i70p0-l0p180-fc1p70-de0p020,-0.5,1.7,0.02
blind_30eea66f0769,am0p500-i70p0-l0p180-fc1p90-de0p000,-0.5,1.9,0.0
blind_d55ca041f978,am0p500-i70p0-l0p180-fc1p90-de0p020,-0.5,1.9,0.02
blind_13f85a7e2097,ap0p000-i40p0-l0p060-fc1p70-de0p020,0.0,1.7,0.02
blind_8a77df07bb49,ap0p000-i40p0-l0p060-fc1p90-de0p000,0.0,1.9,0.0
blind_e8b8b956746b,ap0p000-i40p0-l0p060-fc1p90-de0p020,0.0,1.9,0.02
blind_ca0cb97e8537,ap0p000-i40p0-l0p180-fc1p70-de0p020,0.0,1.7,0.02
blind_8c6694aef949,ap0p000-i40p0-l0p180-fc1p90-de0p000,0.0,1.9,0.0
blind_a54861da2c0c,ap0p000-i40p0-l0p180-fc1p90-de0p020,0.0,1.9,0.02
blind_21b4e1fb6214,ap0p000-i70p0-l0p060-fc1p70-de0p020,0.0,1.7,0.02
blind_241f898eabc3,ap0p000-i70p0-l0p060-fc1p90-de0p000,0.0,1.9,0.0
blind_9ed89ccff471,ap0p000-i70p0-l0p060-fc1p90-de0p020,0.0,1.9,0.02
blind_ac37ed9079a4,ap0p000-i70p0-l0p180-fc1p70-de0p020,0.0,1.7,0.02
blind_50a2cc16d472,ap0p000-i70p0-l0p180-fc1p90-de0p000,0.0,1.9,0.0
blind_e0a575312563,ap0p000-i70p0-l0p180-fc1p90-de0p020,0.0,1.9,0.02
blind_803b83b844c6,ap0p500-i40p0-l0p060-fc1p70-de0p020,0.5,1.7,0.02
blind_123d9273136e,ap0p500-i40p0-l0p060-fc1p90-de0p000,0.5,1.9,0.0
blind_ec9f3a56a1fb,ap0p500-i40p0-l0p060-fc1p90-de0p020,0.5,1.9,0.02
blind_5f6e3ced47a6,ap0p500-i40p0-l0p180-fc1p70-de0p020,0.5,1.7,0.02
blind_9c3861e5ece6,ap0p500-i40p0-l0p180-fc1p90-de0p000,0.5,1.9,0.0
blind_3adff25df098,ap0p500-i40p0-l0p180-fc1p90-de0p020,0.5,1.9,0.02
blind_c81aa28d50fe,ap0p500-i70p0-l0p060-fc1p70-de0p020,0.5,1.7,0.02
blind_8db010a5d62e,ap0p500-i70p0-l0p060-fc1p90-de0p000,0.5,1.9,0.0
blind_4b028e2367c2,ap0p500-i70p0-l0p060-fc1p90-de0p020,0.5,1.9,0.02
blind_9aee2b771a21,ap0p500-i70p0-l0p180-fc1p70-de0p020,0.5,1.7,0.02
blind_45996eeadf25,ap0p500-i70p0-l0p180-fc1p90-de0p000,0.5,1.9,0.0
blind_e887dfb07f19,ap0p500-i70p0-l0p180-fc1p90-de0p020,0.5,1.9,0.02
blind_723aaba0242e,ap0p900-i40p0-l0p060-fc1p70-de0p020,0.9,1.7,0.02
blind_43cd0eae439c,ap0p900-i40p0-l0p060-fc1p90-de0p000,0.9,1.9,0.0
blind_f3d5bc32fcbe,ap0p900-i40p0-l0p060-fc1p90-de0p020,0.9,1.9,0.02
blind_400326ec8d2e,ap0p900-i40p0-l0p180-fc1p70-de0p020,0.9,1.7,0.02
blind_d13adee18a69,ap0p900-i40p0-l0p180-fc1p90-de0p000,0.9,1.9,0.0
blind_0fa5e27ced7d,ap0p900-i40p0-l0p180-fc1p90-de0p020,0.9,1.9,0.02
blind_b3c8bdca0110,ap0p900-i70p0-l0p060-fc1p70-de0p020,0.9,1.7,0.02
blind_b161936ee1a3,ap0p900-i70p0-l0p060-fc1p90-de0p000,0.9,1.9,0.0
blind_b988235c9801,ap0p900-i70p0-l0p060-fc1p90-de0p020,0.9,1.9,0.02
blind_7e9183878139,ap0p900-i70p0-l0p180-fc1p70-de0p020,0.9,1.7,0.02
blind_1c06e334208d,ap0p900-i70p0-l0p180-fc1p90-de0p000,0.9,1.9,0.0
blind_f63a75ce4aa2,ap0p900-i70p0-l0p180-fc1p90-de0p020,0.9,1.9,0.02
