blind_id,condition_id,status,failure_cause,planned_replicates,completed_replicates,failed_replicates,failure_rate,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,mean_bias,median_bias,rmse,mean_width_68,mean_width_95,coverage_68,coverage_95,mean_chi2_per_dof,mean_runtime_s
blind_cd385610e651,am0p500-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.06,1.7,1.7,0.02,0.49769694337539827,0.4995785862151892,0.4977501095445295,0.020520896892343217,0.03526867849227907,0.0,0.0,0.9729044096707403,0.027871878000441937
blind_eabbf106a340,am0p500-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.06,1.9,1.7,0.0,1.155944602396951,1.153513704159912,1.1559903686992812,0.024085338309435697,0.04253885087157181,0.0,0.0,162.17733209430875,0.0009815959993284195
blind_01bbfef3962b,am0p500-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.06,1.9,1.7,0.02,1.4240857640567128,1.4231539567281262,1.424107739619288,0.01913166027244435,0.03034500414237898,0.0,0.0,163.92337565395377,0.0010850389942061156
blind_71f101a097dc,am0p500-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.18,1.7,1.7,0.02,0.4972615679440853,0.4979671833858813,0.4973615037976166,0.025839192264851242,0.047491531086672346,0.0,0.0,1.0554994988934796,0.0010414830036461354
blind_1c59bc2c4a2c,am0p500-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.18,1.9,1.7,0.0,1.0204694993289158,1.0166772757279297,1.020706601530836,0.03439135534692551,0.06641012961663977,0.0,0.0,160.17641898386424,0.0010052899993024766
blind_d3b6cd030f16,am0p500-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,-0.5,40.0,0.18,1.9,1.7,0.02,1.3239015312051747,1.3253399320453996,1.3240178855785116,0.02792069274973656,0.05356574569380955,0.0,0.0,160.70395741593097,0.0010062599903903902
blind_ac518a4d2484,am0p500-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,-0.5,70.0,0.06,1.7,1.7,0.02,0.4781300479240233,0.4759157704478092,0.47822250985711845,0.02294058774802391,0.04007321687274054,0.0,0.0,1.0479937849265473,0.01704542899969965
blind_45f91aaf7273,am0p500-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,-0.5,70.0,0.06,1.9,1.7,0.0,1.4593333305518936,1.4548943841581923,1.4593749094689614,0.019336581070798796,0.03126811617843961,0.0,0.0,175.43798041248647,0.0009755310043692588
blind_27f89e1e8bc0,am0p500-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,-0.5,70.0,0.06,1.9,1.7,0.02,1.4979999999999996,1.498,1.4979999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,185.98642101606268,0.0010096159938257187
blind_2a3f8f4c1309,am0p500-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,-0.5,70.0,0.18,1.7,1.7,0.02,0.4762942541722287,0.47555830155696865,0.47644358739872156,0.027196723229870243,0.05209679913279339,0.0,0.0,1.0672997172213672,0.0010109830053988845
