group_id,spin_true,inclination_deg,f_col_true,f_col_fit,inner_stress_delta_eta,epoch_count,condition_ids,eddington_ratios
multi_664c5f666404,-0.5,40.0,1.7,1.7,0.02,2,am0p500-i40p0-l0p060-fc1p70-de0p020;am0p500-i40p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_39dff8f57c7c,-0.5,40.0,1.9,1.7,0.0,2,am0p500-i40p0-l0p060-fc1p90-de0p000;am0p500-i40p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_961f7b4cad96,-0.5,40.0,1.9,1.7,0.02,2,am0p500-i40p0-l0p060-fc1p90-de0p020;am0p500-i40p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_331e5cbc501c,-0.5,70.0,1.7,1.7,0.02,2,am0p500-i70p0-l0p060-fc1p70-de0p020;am0p500-i70p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_effd7716d606,-0.5,70.0,1.9,1.7,0.0,2,am0p500-i70p0-l0p060-fc1p90-de0p000;am0p500-i70p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_2341dc683edc,-0.5,70.0,1.9,1.7,0.02,2,am0p500-i70p0-l0p060-fc1p90-de0p020;am0p500-i70p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_223e92ef3122,0.0,40.0,1.7,1.7,0.02,2,ap0p000-i40p0-l0p060-fc1p70-de0p020;ap0p000-i40p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_e0dca9094df9,0.0,40.0,1.9,1.7,0.0,2,ap0p000-i40p0-l0p060-fc1p90-de0p000;ap0p000-i40p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_709a512ecd3b,0.0,40.0,1.9,1.7,0.02,2,ap0p000-i40p0-l0p060-fc1p90-de0p020;ap0p000-i40p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_a8b6cf09ae8a,0.0,70.0,1.7,1.7,0.02,2,ap0p000-i70p0-l0p060-fc1p70-de0p020;ap0p000-i70p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_38d2fde977d6,0.0,70.0,1.9,1.7,0.0,2,ap0p000-i70p0-l0p060-fc1p90-de0p000;ap0p000-i70p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_3b6d842329cc,0.0,70.0,1.9,1.7,0.02,2,ap0p000-i70p0-l0p060-fc1p90-de0p020;ap0p000-i70p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_f04d2b522b76,0.5,40.0,1.7,1.7,0.02,2,ap0p500-i40p0-l0p060-fc1p70-de0p020;ap0p500-i40p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_8a2fdbad8559,0.5,40.0,1.9,1.7,0.0,2,ap0p500-i40p0-l0p060-fc1p90-de0p000;ap0p500-i40p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_12936dc14a10,0.5,40.0,1.9,1.7,0.02,2,ap0p500-i40p0-l0p060-fc1p90-de0p020;ap0p500-i40p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_f7504fd7a9b7,0.5,70.0,1.7,1.7,0.02,2,ap0p500-i70p0-l0p060-fc1p70-de0p020;ap0p500-i70p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_e4983123ff36,0.5,70.0,1.9,1.7,0.0,2,ap0p500-i70p0-l0p060-fc1p90-de0p000;ap0p500-i70p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_cd7b6151956b,0.5,70.0,1.9,1.7,0.02,2,ap0p500-i70p0-l0p060-fc1p90-de0p020;ap0p500-i70p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_050f0f9e11ae,0.9,40.0,1.7,1.7,0.02,2,ap0p900-i40p0-l0p060-fc1p70-de0p020;ap0p900-i40p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_942f7091d1e9,0.9,40.0,1.9,1.7,0.0,2,ap0p900-i40p0-l0p060-fc1p90-de0p000;ap0p900-i40p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_5aca7ecb458f,0.9,40.0,1.9,1.7,0.02,2,ap0p900-i40p0-l0p060-fc1p90-de0p020;ap0p900-i40p0-l0p180-fc1p90-de0p020,0.06;0.18
multi_1bde53b8af52,0.9,70.0,1.7,1.7,0.02,2,ap0p900-i70p0-l0p060-fc1p70-de0p020;ap0p900-i70p0-l0p180-fc1p70-de0p020,0.06;0.18
multi_87445c59ca80,0.9,70.0,1.9,1.7,0.0,2,ap0p900-i70p0-l0p060-fc1p90-de0p000;ap0p900-i70p0-l0p180-fc1p90-de0p000,0.06;0.18
multi_a2c0ecaf2b02,0.9,70.0,1.9,1.7,0.02,2,ap0p900-i70p0-l0p060-fc1p90-de0p020;ap0p900-i70p0-l0p180-fc1p90-de0p020,0.06;0.18
