group_id,status,failure_cause,spin_true,inclination_deg,f_col_true,f_col_fit,inner_stress_delta_eta,epoch_count,eddington_ratios,planned_replicates,completed_replicates,failed_replicates,failure_rate,mean_single_epoch_bias,mean_joint_bias,mean_single_epoch_abs_bias,mean_joint_abs_bias,single_epoch_rmse,joint_rmse,mean_single_epoch_width_68,mean_joint_width_68,mean_single_epoch_width_95,mean_joint_width_95,coverage_68_single_epoch,coverage_68_joint,coverage_95_single_epoch,coverage_95_joint,width_68_reduction_fraction,width_95_reduction_fraction,joint_abs_bias_minus_single_epoch_abs_bias
multi_664c5f666404,COMPLETED,,-0.5,40.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.49765487550900533,0.4987329169576049,0.49765487550900533,0.4987329169576049,0.49769398857321984,0.4987585261069533,0.023125415219815707,0.018797332538736316,0.042019395971393515,0.028826571789880812,0.0,0.0,0.0,0.0,0.18715697166685874,0.313969867403479,0.001078041448599576
multi_39dff8f57c7c,COMPLETED,,-0.5,40.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,1.0862484974706483,1.1068988425152795,1.0862484974706483,1.1068988425152795,1.0863127443850702,1.1069413442097862,0.029198967609538592,0.02154599970208375,0.054583202527842684,0.036885303718593845,0.0,0.0,0.0,0.0,0.2620972087025024,0.32423709107616405,0.020650345044631147
multi_961f7b4cad96,COMPLETED,,-0.5,40.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,1.3737688628457265,1.3809521085666505,1.3737688628457265,1.3809521085666505,1.3737965303862176,1.3809823821658356,0.02342285668357551,0.02129136515179451,0.040175515846518246,0.03404611213221835,0.0,0.0,0.0,0.0,0.0910004941146072,0.1525656506245231,0.007183245720923992
multi_331e5cbc501c,COMPLETED,,-0.5,70.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.47437603644092546,0.47522103640178975,0.47437603644092546,0.47522103640178975,0.47446068809537956,0.47529118785046,0.024578080698454977,0.019576085314720687,0.04623037090504423,0.03178779068964178,0.0,0.0,0.0,0.0,0.2035144828883536,0.31240459318544234,0.00084499996086429
multi_effd7716d606,COMPLETED,,-0.5,70.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,1.4199143587155378,1.4298831902492524,1.4199143587155378,1.4298831902492524,1.4199324127008568,1.4299156022147765,0.021994698360666122,0.019323173023269417,0.03782276720449094,0.03028099347365039,0.0,0.0,0.0,0.0,0.12146224029033681,0.1993977249222808,0.009968831533714528
multi_2341dc683edc,COMPLETED,,-0.5,70.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,1.4979999999518898,1.4979999999999996,1.4979999999518898,1.4979999999999996,1.49799999995189,1.4979999999999998,0.01696600003271477,0.016966000000000037,0.023702500045704386,0.02370249999999995,0.0,0.0,0.0,0.0,1.9282525576258536e-09,1.928253889893483e-09,4.810973841529176e-11
multi_223e92ef3122,COMPLETED,,0.0,40.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.2760370690628867,0.27545186177488423,0.2760370690628867,0.27545186177488423,0.2761139015476829,0.27550636244687005,0.022537480427044624,0.018705838779488514,0.04011400159653598,0.028960877479060464,0.0,0.0,0.0,0.0,0.17001197893257847,0.2780356901226886,-0.0005852072880024872
multi_e0dca9094df9,COMPLETED,,0.0,40.0,1.9,1.7,0.0,2,0.06;0.18,100,100,0,0.0,0.8767260403665493,0.8858113675087793,0.8767260403665493,0.8858113675087793,0.8767708933993656,0.8858724502824924,0.02275415558228406,0.020558843566697963,0.039830162042119095,0.034648811560620864,0.0,0.0,0.0,0.0,0.096479608203757,0.1300861009809381,0.009085327142229982
multi_709a512ecd3b,COMPLETED,,0.0,40.0,1.9,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.9738418964173732,0.987559233415363,0.9738418964173732,0.987559233415363,0.9738465871028605,0.9876246267228929,0.017985137574272413,0.018532183206460752,0.026458856331350377,0.02886709473244437,0.0,0.0,0.0,0.0,-0.03041653865194127,-0.09101823491291783,0.013717336997989826
multi_a8b6cf09ae8a,COMPLETED,,0.0,70.0,1.7,1.7,0.02,2,0.06;0.18,100,100,0,0.0,0.2666215299197269,0.26795822317232915,0.2666215299197269,0.26795822317232915,0.26671037493299393,0.268095131820255,0.023668527517221184,0.020635596476337885,0.041864796808617315,0.034707427265464885,0.0,0.0,0.0,0.0,0.12814194033306647,0.17096391452398452,0.0013366932526022723
