condition_id,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,replicate_count
am0p500-i40p0-l0p060-fc1p70-de0p000,-0.5,40.0,0.06,1.7,1.7,0.0,20
am0p500-i40p0-l0p060-fc1p70-de0p020,-0.5,40.0,0.06,1.7,1.7,0.02,20
am0p500-i40p0-l0p060-fc1p90-de0p000,-0.5,40.0,0.06,1.9,1.7,0.0,20
am0p500-i40p0-l0p060-fc1p90-de0p020,-0.5,40.0,0.06,1.9,1.7,0.02,20
am0p500-i40p0-l0p180-fc1p70-de0p000,-0.5,40.0,0.18,1.7,1.7,0.0,20
am0p500-i40p0-l0p180-fc1p70-de0p020,-0.5,40.0,0.18,1.7,1.7,0.02,20
am0p500-i40p0-l0p180-fc1p90-de0p000,-0.5,40.0,0.18,1.9,1.7,0.0,20
am0p500-i40p0-l0p180-fc1p90-de0p020,-0.5,40.0,0.18,1.9,1.7,0.02,20
am0p500-i70p0-l0p060-fc1p70-de0p000,-0.5,70.0,0.06,1.7,1.7,0.0,20
am0p500-i70p0-l0p060-fc1p70-de0p020,-0.5,70.0,0.06,1.7,1.7,0.02,20
am0p500-i70p0-l0p060-fc1p90-de0p000,-0.5,70.0,0.06,1.9,1.7,0.0,20
am0p500-i70p0-l0p060-fc1p90-de0p020,-0.5,70.0,0.06,1.9,1.7,0.02,20
am0p500-i70p0-l0p180-fc1p70-de0p000,-0.5,70.0,0.18,1.7,1.7,0.0,20
am0p500-i70p0-l0p180-fc1p70-de0p020,-0.5,70.0,0.18,1.7,1.7,0.02,20
am0p500-i70p0-l0p180-fc1p90-de0p000,-0.5,70.0,0.18,1.9,1.7,0.0,20
am0p500-i70p0-l0p180-fc1p90-de0p020,-0.5,70.0,0.18,1.9,1.7,0.02,20
ap0p000-i40p0-l0p060-fc1p70-de0p000,0.0,40.0,0.06,1.7,1.7,0.0,20
ap0p000-i40p0-l0p060-fc1p70-de0p020,0.0,40.0,0.06,1.7,1.7,0.02,20
ap0p000-i40p0-l0p060-fc1p90-de0p000,0.0,40.0,0.06,1.9,1.7,0.0,20
ap0p000-i40p0-l0p060-fc1p90-de0p020,0.0,40.0,0.06,1.9,1.7,0.02,20
ap0p000-i40p0-l0p180-fc1p70-de0p000,0.0,40.0,0.18,1.7,1.7,0.0,20
ap0p000-i40p0-l0p180-fc1p70-de0p020,0.0,40.0,0.18,1.7,1.7,0.02,20
ap0p000-i40p0-l0p180-fc1p90-de0p000,0.0,40.0,0.18,1.9,1.7,0.0,20
ap0p000-i40p0-l0p180-fc1p90-de0p020,0.0,40.0,0.18,1.9,1.7,0.02,20
ap0p000-i70p0-l0p060-fc1p70-de0p000,0.0,70.0,0.06,1.7,1.7,0.0,20
ap0p000-i70p0-l0p060-fc1p70-de0p020,0.0,70.0,0.06,1.7,1.7,0.02,20
ap0p000-i70p0-l0p060-fc1p90-de0p000,0.0,70.0,0.06,1.9,1.7,0.0,20
ap0p000-i70p0-l0p060-fc1p90-de0p020,0.0,70.0,0.06,1.9,1.7,0.02,20
ap0p000-i70p0-l0p180-fc1p70-de0p000,0.0,70.0,0.18,1.7,1.7,0.0,20
ap0p000-i70p0-l0p180-fc1p70-de0p020,0.0,70.0,0.18,1.7,1.7,0.02,20
ap0p000-i70p0-l0p180-fc1p90-de0p000,0.0,70.0,0.18,1.9,1.7,0.0,20
ap0p000-i70p0-l0p180-fc1p90-de0p020,0.0,70.0,0.18,1.9,1.7,0.02,20
ap0p500-i40p0-l0p060-fc1p70-de0p000,0.5,40.0,0.06,1.7,1.7,0.0,20
ap0p500-i40p0-l0p060-fc1p70-de0p020,0.5,40.0,0.06,1.7,1.7,0.02,20
ap0p500-i40p0-l0p060-fc1p90-de0p000,0.5,40.0,0.06,1.9,1.7,0.0,20
ap0p500-i40p0-l0p060-fc1p90-de0p020,0.5,40.0,0.06,1.9,1.7,0.02,20
ap0p500-i40p0-l0p180-fc1p70-de0p000,0.5,40.0,0.18,1.7,1.7,0.0,20
ap0p500-i40p0-l0p180-fc1p70-de0p020,0.5,40.0,0.18,1.7,1.7,0.02,20
ap0p500-i40p0-l0p180-fc1p90-de0p000,0.5,40.0,0.18,1.9,1.7,0.0,20
ap0p500-i40p0-l0p180-fc1p90-de0p020,0.5,40.0,0.18,1.9,1.7,0.02,20
ap0p500-i70p0-l0p060-fc1p70-de0p000,0.5,70.0,0.06,1.7,1.7,0.0,20
ap0p500-i70p0-l0p060-fc1p70-de0p020,0.5,70.0,0.06,1.7,1.7,0.02,20
ap0p500-i70p0-l0p060-fc1p90-de0p000,0.5,70.0,0.06,1.9,1.7,0.0,20
ap0p500-i70p0-l0p060-fc1p90-de0p020,0.5,70.0,0.06,1.9,1.7,0.02,20
ap0p500-i70p0-l0p180-fc1p70-de0p000,0.5,70.0,0.18,1.7,1.7,0.0,20
ap0p500-i70p0-l0p180-fc1p70-de0p020,0.5,70.0,0.18,1.7,1.7,0.02,20
ap0p500-i70p0-l0p180-fc1p90-de0p000,0.5,70.0,0.18,1.9,1.7,0.0,20
ap0p500-i70p0-l0p180-fc1p90-de0p020,0.5,70.0,0.18,1.9,1.7,0.02,20
ap0p900-i40p0-l0p060-fc1p70-de0p000,0.9,40.0,0.06,1.7,1.7,0.0,20
ap0p900-i40p0-l0p060-fc1p70-de0p020,0.9,40.0,0.06,1.7,1.7,0.02,20
ap0p900-i40p0-l0p060-fc1p90-de0p000,0.9,40.0,0.06,1.9,1.7,0.0,20
ap0p900-i40p0-l0p060-fc1p90-de0p020,0.9,40.0,0.06,1.9,1.7,0.02,20
ap0p900-i40p0-l0p180-fc1p70-de0p000,0.9,40.0,0.18,1.7,1.7,0.0,20
ap0p900-i40p0-l0p180-fc1p70-de0p020,0.9,40.0,0.18,1.7,1.7,0.02,20
ap0p900-i40p0-l0p180-fc1p90-de0p000,0.9,40.0,0.18,1.9,1.7,0.0,20
ap0p900-i40p0-l0p180-fc1p90-de0p020,0.9,40.0,0.18,1.9,1.7,0.02,20
ap0p900-i70p0-l0p060-fc1p70-de0p000,0.9,70.0,0.06,1.7,1.7,0.0,20
ap0p900-i70p0-l0p060-fc1p70-de0p020,0.9,70.0,0.06,1.7,1.7,0.02,20
ap0p900-i70p0-l0p060-fc1p90-de0p000,0.9,70.0,0.06,1.9,1.7,0.0,20
ap0p900-i70p0-l0p060-fc1p90-de0p020,0.9,70.0,0.06,1.9,1.7,0.02,20
ap0p900-i70p0-l0p180-fc1p70-de0p000,0.9,70.0,0.18,1.7,1.7,0.0,20
ap0p900-i70p0-l0p180-fc1p70-de0p020,0.9,70.0,0.18,1.7,1.7,0.02,20
ap0p900-i70p0-l0p180-fc1p90-de0p000,0.9,70.0,0.18,1.9,1.7,0.0,20
ap0p900-i70p0-l0p180-fc1p90-de0p020,0.9,70.0,0.18,1.9,1.7,0.02,20
