a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,7.554584714512358,0.0,5.616285943615412e-06
-0.5,7.614445557517515,1.4964414767892656e-09,5.428673919458799e-06
-0.5,7.674780724480996,5.723626060073523e-09,5.250680281842064e-06
-0.5,7.735593973839974,1.2394333979229765e-08,5.081740233709492e-06
-0.5,7.796889093812637,2.121432839353256e-08,4.9212945977365845e-06
-0.5,7.858669902634166,3.1914206892932064e-08,4.7688210093294605e-06
-0.5,7.92094024879459,4.424748152509113e-08,4.623831377527578e-06
-0.5,7.983704011278512,5.798880797527627e-08,4.485869531752253e-06
-0.5,8.046965099806743,7.293235175347932e-08,4.354509039777388e-06
-0.5,8.110727455079846,8.889028030006418e-08,4.229351183544284e-06
-0.5,8.174995049023625,1.0569137087907821e-07,4.110023080572832e-06
-0.5,8.239771885036527,1.231797249973598e-07,3.996175939748551e-06
-0.5,8.305061998239038,1.4121358087645042e-07,3.887483441198642e-06
-0.5,8.370869455725042,1.5966421622095356e-07,3.783640230819989e-06
-0.5,8.437198356815161,1.78414934178626e-07,3.684360520795856e-06
-0.5,8.504052833312123,1.973601259805438e-07,3.5893767881432337e-06
-0.5,8.571437049758138,2.1640440428933517e-07,3.4984385639759175e-06
-0.5,8.639355203694317,2.354618017757762e-07,3.4113113067555864e-06
-0.5,8.707811525922152,2.5445502989239816e-07,3.327775353339192e-06
-0.5,8.77681028076706,2.7331479322227243e-07,3.2476249421212393e-06
-0.5,8.84635576634402,2.919791551548207e-07,3.170667303017628e-06
-0.5,8.916452314825317,3.103929509820974e-07,3.0967218094481407e-06
-0.5,8.987104292710402,3.285072448211769e-07,3.0256191878504437e-06
-0.5,9.05831610109789,3.46278827053974e-07,2.9572007806027805e-06
-0.5,9.130092175959724,3.636697492372658e-07,2.891317858548394e-06
-0.5,9.202436988417496,3.80646893675285e-07,2.827830979604635e-06
-0.5,9.275355045020964,3.971815750666907e-07,2.7666093902056857e-06
-0.5,9.348850888028785,4.132491718389595e-07,2.7075304665723115e-06
-0.5,9.42292909569146,4.288287849681487e-07,2.650479193026999e-06
-0.5,9.49759428253652,4.4390292225138954e-07,2.5953476747794565e-06
-0.5,9.57285109965599,4.584572061550415e-07,2.542034682797507e-06
-0.5,9.648704234996101,4.724801035050094e-07,2.4904452285541104e-06
-0.5,9.725158413649332,4.859626754168689e-07,2.4404901666021895e-06
-0.5,9.802218398148735,4.988983459848046e-07,2.39208582307808e-06
-0.5,9.87988898876461,5.112826883596545e-07,2.3451536483714993e-06
-0.5,9.958175023803532,5.231132269489552e-07,2.2996198923266283e-06
-0.5,10.037081379909736,5.343892545665071e-07,2.255415300455937e-06
-0.5,10.116612972368891,5.451116634460183e-07,2.2124748297563026e-06
-0.5,10.1967747554143,5.552827891136635e-07,2.170737382816758e-06
-0.5,10.277571722535503,5.649062661885631e-07,2.1301455589996044e-06
-0.5,10.359008906789336,5.739868952487901e-07,2.0906454215621655e-06
-0.5,10.441091381113454,5.825305199630874e-07,2.052186279664951e-06
-0.5,10.523824258642337,5.905439137473455e-07,2.0147204842856955e-06
-0.5,10.607212693025804,5.980346752587055e-07,1.97820323712644e-06
-0.5,10.691261878750039,6.05011132089535e-07,1.94259241166318e-06
-0.5,10.775977051461181,6.114822520700661e-07,1.9078483855463073e-06
-0.5,10.86136348829146,6.174575616309535e-07,1.8739338836139546e-06
-0.5,10.947426508187917,6.229470707162364e-07,1.8408138308302043e-06
-0.5,11.03417147224375,6.279612037739513e-07,1.8084552145069129e-06
-0.5,11.121603784032267,6.325107363853516e-07,1.7768269552109924e-06
-0.5,11.209728889943458,6.36606737124835e-07,1.745899785798939e-06
-0.5,11.298552279523335,6.402605142720361e-07,1.7156461380579646e-06
-0.5,11.388079485815807,6.434835670239474e-07,1.686040036467381e-06
-0.5,11.478316085707409,6.462875408804741e-07,1.6570569986265192e-06
-0.5,11.569267700274676,6.486841868992854e-07,1.6286739419249833e-06
-0.5,11.660939995134298,6.506853245378074e-07,1.6008690960592984e-06
-0.5,11.753338680796048,6.523028078198335e-07,1.5736219210257954e-06
-0.5,11.846469513018501,6.535484945827142e-07,1.5469130302437219e-06
-0.5,11.940338293167583,6.544342185785271e-07,1.5207241184853792e-06
-0.5,12.034950868577944,6.549717642178579e-07,1.4950378943103873e-06
-0.5,12.130313132917212,6.551728437607293e-07,1.4698380167218152e-06
-0.5,12.226431026553119,6.550490767717416e-07,1.4451090357789635e-06
-0.5,12.323310536923547,6.546119716702239e-07,1.42083633691952e-06
-0.5,12.420957698909497,6.538729092175886e-07,1.3970060887592138e-06
-0.5,12.519378595211029,6.528431277951765e-07,1.373605194151949e-06
-0.5,12.61857935672614,6.515337103362808e-07,1.3506212443073436e-06
-0.5,12.718566162932714,6.499555727855911e-07,1.328042475775511e-06
-0.5,12.819345242273432,6.481194539678971e-07,1.3058577301207012e-06
-0.5,12.920922872543763,6.460359067566146e-07,1.2840564161171167e-06
-0.5,13.023305381283027,6.437152904399765e-07,1.2626284743103348e-06
-0.5,13.126499146168555,6.411677641901493e-07,1.2415643437978644e-06
-0.5,13.230510595412968,6.384032815471404e-07,1.2208549310914962e-06
