a_star,inclination_deg,alpha,beta,emission_radius,redshift,emission_mu
0.0,40.0,-8.75,-61.25,79.73129810011054,0.9742988566928776,0.7514928946436747
0.0,40.0,-5.25,-61.25,79.37235517832933,0.9772425798669888,0.7543177303330278
0.0,40.0,-1.75,-61.25,79.19208313531114,0.9802948300478899,0.7569570821006592
0.0,40.0,1.75,-61.25,79.19208313531114,0.9834265557325411,0.7593753157417337
0.0,40.0,5.25,-61.25,79.37235517832933,0.986606260777711,0.7615454040730526
0.0,40.0,8.75,-61.25,79.73129810011054,0.9898013297042886,0.7634502096271132
0.0,40.0,-26.25,-57.75,79.32951562082535,0.9590129622319365,0.7377679434653931
0.0,40.0,-22.75,-57.75,78.08377078107921,0.9612304820143447,0.7411561479202552
0.0,40.0,-19.25,-57.75,76.99592191313297,0.9636724160723005,0.7446061848078492
0.0,40.0,-15.75,-57.75,76.0742923221975,0.9663331790207622,0.7480684213289478
0.0,40.0,-12.25,-57.75,75.32654099382799,0.9692010084068154,0.7514872250110127
0.0,40.0,-8.75,-57.75,74.75934030323397,0.9722575504270926,0.7548038149303616
0.0,40.0,-5.25,-57.75,74.37805228824396,0.9754778804955493,0.7579598933908653
0.0,40.0,-1.75,-57.75,74.18643821432984,0.978831046120177,0.7609016548295956
0.0,40.0,1.75,-57.75,74.18643821432984,0.9822811508398761,0.7635836196088699
0.0,40.0,5.25,-57.75,74.37805228824396,0.9857889103000309,0.7659717070953285
0.0,40.0,8.75,-57.75,74.75934030323397,0.9893135263262592,0.7680450756131879
0.0,40.0,12.25,-57.75,75.32654099382799,0.9928146670333345,0.7697964948525394
0.0,40.0,15.75,-57.75,76.0742923221975,0.9962543273743515,0.7712313083115729
0.0,40.0,19.25,-57.75,76.99592191313297,0.9995983777077497,0.7723652996094895
0.0,40.0,22.75,-57.75,78.08377078107921,1.002817675508629,0.7732219268460822
0.0,40.0,26.25,-57.75,79.32951562082535,1.0058886955647377,0.7738294095157433
0.0,40.0,-36.75,-54.25,79.50453985637952,0.9503038245838115,0.7289884985932936
0.0,40.0,-33.25,-54.25,77.75576484303093,0.9518602064474243,0.732185765563327
0.0,40.0,-29.75,-54.25,76.14116056728588,0.9536597984263461,0.7355891889180907
0.0,40.0,-26.25,-54.25,74.6705871012407,0.9557153010380185,0.7391743074661339
0.0,40.0,-22.75,-54.25,73.35412062592717,0.9580353624651871,0.7429050855738962
0.0,40.0,-19.25,-54.25,72.20183066505871,0.9606231899804969,0.7467334442544475
0.0,40.0,-15.75,-54.25,71.22348399913905,0.9634751693194067,0.750599937791705
0.0,40.0,-12.25,-54.25,70.42817945864014,0.9665796648095788,0.754435872510932
0.0,40.0,-8.75,-54.25,69.82393256980836,0.9699162138344012,0.7581669659888257
0.0,40.0,-5.25,-54.25,69.41724550611751,0.9734553347782524,0.7617183341115848
0.0,40.0,-1.75,-54.25,69.21271192827997,0.9771591190879487,0.7650202342498228
0.0,40.0,1.75,-54.25,69.21271192827997,0.9809826693952417,0.7680137010195762
0.0,40.0,5.25,-54.25,69.41724550611751,0.9848762943937566,0.7706551122270997
0.0,40.0,8.75,-54.25,69.82393256980836,0.9887882174901732,0.772918889453701
0.0,40.0,12.25,-54.25,70.42817945864014,0.9926674500429724,0.7747979406683564
0.0,40.0,15.75,-54.25,71.22348399913905,0.9964664564234634,0.7763019577674413
0.0,40.0,19.25,-54.25,72.20183066505871,1.0001433020755341,0.7774541157204863
0.0,40.0,22.75,-54.25,73.35412062592717,1.0036631003822332,0.7782869512855999
0.0,40.0,26.25,-54.25,74.6705871012407,1.0069987153612736,0.778838192961866
0.0,40.0,29.75,-54.25,76.14116056728588,1.0101307952089695,0.7791471272827686
0.0,40.0,33.25,-54.25,77.75576484303093,1.013047284570356,0.7792518235144494
0.0,40.0,36.75,-54.25,79.50453985637952,1.0157425889465206,0.7791872932824171
0.0,40.0,-43.75,-50.75,79.21941312263108,0.944251031254477,0.7232898958190801
0.0,40.0,-40.25,-50.75,77.14021123040608,0.9452859587556656,0.7261561656057084
0.0,40.0,-36.75,-50.75,75.1768218269107,0.9465541117308971,0.7292953174970987
0.0,40.0,-33.25,-50.75,73.33914830637221,0.9480786687856955,0.7327074258872425
0.0,40.0,-29.75,-50.75,71.6377457162959,0.9498815700138271,0.7363823902502982
0.0,40.0,-26.25,-50.75,70.08373515371369,0.9519821140589764,0.7402973136065244
0.0,40.0,-22.75,-50.75,68.68864890834729,0.9543952310757617,0.7444142173516937
0.0,40.0,-19.25,-50.75,67.4641868996829,0.957129493941259,0.7486786274754902
0.0,40.0,-15.75,-50.75,66.42187002395606,0.9601850147611993,0.7530196625635646
0.0,40.0,-12.25,-50.75,65.57258835205481,0.9635514747231559,0.7573522120164671
0.0,40.0,-8.75,-50.75,64.92606345475645,0.9672066283710529,0.7615815386365379
0.0,40.0,-5.25,-50.75,64.49027095512692,0.9711156665734949,0.7656101516406524
